Sample_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A1AY-01	7	151075104	151946958	500	0.2257
TCGA-AR-A1AY-01	7	151947078	155411140	1695	0.1363
TCGA-AR-A1AY-01	7	155412404	155418991	2	-0.7392
TCGA-AR-A1AY-01	7	155419697	155823050	254	0.1309
TCGA-AR-A1AY-01	7	155823951	158111931	1322	0.1838
TCGA-AR-A1AY-01	7	158116556	158592540	187	0.1287
TCGA-AR-A1AY-01	8	667625	6691758	2993	0.5535
TCGA-AR-A1AY-01	8	6694815	12827148	2347	0.6143
TCGA-AR-A1AY-01	8	12828929	15975718	2528	0.5535
TCGA-AR-A1AY-01	8	15977731	15977784	2	-0.6754
TCGA-AR-A1AY-01	8	15978575	22537796	4765	0.5818
TCGA-AR-A1AY-01	8	22537996	23719777	741	0.6464
TCGA-AR-A1AY-01	8	23729799	32617809	6062	0.1718
TCGA-AR-A1AY-01	8	32619298	36308274	1939	0.1318
TCGA-AR-A1AY-01	8	36309466	36985205	258	0.1707
TCGA-AR-A1AY-01	8	36988591	37416304	341	0.2444
TCGA-AR-A1AY-01	8	37416730	41192561	2010	0.1621
TCGA-AR-A1AY-01	8	41196737	42223382	614	0.5718
TCGA-AR-A1AY-01	8	42223646	42298312	60	0.3592
TCGA-AR-A1AY-01	8	42298469	42643418	237	0.5714
TCGA-AR-A1AY-01	8	42645620	48250004	823	0.4904
TCGA-AR-A1AY-01	8	48256555	95085479	26843	0.5548
TCGA-AR-A1AY-01	8	95087766	98922989	2401	0.5915
TCGA-AR-A1AY-01	8	98923923	98924057	2	-0.6602
TCGA-AR-A1AY-01	8	98927949	98984119	17	0.6529
TCGA-AR-A1AY-01	8	98990998	99775288	374	0.5057
TCGA-AR-A1AY-01	8	99778761	103817282	2405	0.6003
TCGA-AR-A1AY-01	8	103817855	111983761	4288	0.5495
TCGA-AR-A1AY-01	8	111992011	111996617	5	-0.6647
TCGA-AR-A1AY-01	8	111997926	112834732	463	0.5482
TCGA-AR-A1AY-01	8	112836873	123966472	6951	0.5959
TCGA-AR-A1AY-01	8	123967233	127246673	2277	0.5665
TCGA-AR-A1AY-01	8	127249682	127321656	50	1.1068
TCGA-AR-A1AY-01	8	127325174	127606393	215	0.9213
TCGA-AR-A1AY-01	8	127607194	127832475	171	1.1104
TCGA-AR-A1AY-01	8	127836003	136358043	6328	0.5641
TCGA-AR-A1AY-01	8	136363215	139094776	1955	0.5191
TCGA-AR-A1AY-01	8	139094875	140494442	1066	0.5643
TCGA-AR-A1AY-01	8	140500323	144076662	600	0.6455
TCGA-AR-A1AY-01	8	144080674	144182542	32	0.4708
TCGA-AR-A1AY-01	9	789794	4560243	2709	0.5914
TCGA-AR-A1AY-01	9	4560348	4987165	343	0.5499
TCGA-AR-A1AY-01	9	4987179	5059905	118	0.391
TCGA-AR-A1AY-01	9	5060104	11113645	3086	0.5392
TCGA-AR-A1AY-01	9	11114571	14079068	1203	0.6297
TCGA-AR-A1AY-01	9	14080045	14310225	201	0.2395
TCGA-AR-A1AY-01	9	14310934	16761599	2016	0.5618
TCGA-AR-A1AY-01	9	16761623	17502275	537	0.496
TCGA-AR-A1AY-01	9	17503075	18069946	430	0.5515
TCGA-AR-A1AY-01	9	18070038	18943976	820	0.6015
TCGA-AR-A1AY-01	9	18944072	19512413	415	0.5197
TCGA-AR-A1AY-01	9	19515521	36639445	10191	0.1543
TCGA-AR-A1AY-01	9	36640910	138044505	46319	-0.4412
TCGA-AR-A1AY-01	10	366509	5391329	3272	0.809
TCGA-AR-A1AY-01	10	5392489	5752512	190	0.9431
TCGA-AR-A1AY-01	10	5757650	37325563	22134	0.7969
TCGA-AR-A1AY-01	10	37326650	38367959	577	0.7009
TCGA-AR-A1AY-01	10	38373018	38770921	65	0.4466
TCGA-AR-A1AY-01	10	42450960	43415643	587	0.1057
TCGA-AR-A1AY-01	10	43415980	43610919	115	-0.0196
TCGA-AR-A1AY-01	10	43611468	43935090	236	0.1304
TCGA-AR-A1AY-01	10	43935298	43971737	30	0.4758
TCGA-AR-A1AY-01	10	43973338	44136814	127	0.1171
TCGA-AR-A1AY-01	10	44142430	54341179	4915	-0.4579
TCGA-AR-A1AY-01	10	54344188	68144132	7913	-0.4285
TCGA-AR-A1AY-01	10	68144884	87763462	12199	-0.4548
TCGA-AR-A1AY-01	10	87766103	87852267	51	-1.8284
TCGA-AR-A1AY-01	10	87855380	87960361	172	-0.8479
TCGA-AR-A1AY-01	10	87960376	129348889	27149	-0.4562
TCGA-AR-A1AY-01	10	129349642	129349850	2	-3.9214
TCGA-AR-A1AY-01	10	129350231	133411599	1434	-0.5153
TCGA-AR-A1AY-01	11	456012	516520	19	0.189
TCGA-AR-A1AY-01	11	549959	964271	114	-0.4772
TCGA-AR-A1AY-01	11	969080	3427374	866	0.1747
TCGA-AR-A1AY-01	11	3428005	10370051	4354	0.1003
TCGA-AR-A1AY-01	11	10370333	21049367	7985	0.1588
TCGA-AR-A1AY-01	11	21050913	32323134	7097	0.1313
TCGA-AR-A1AY-01	11	32325172	32328710	9	-0.5331
TCGA-AR-A1AY-01	11	32331358	33509305	611	0.1189
TCGA-AR-A1AY-01	11	33509579	39244545	3522	0.1844
TCGA-AR-A1AY-01	11	39249089	39250878	8	0.6302
TCGA-AR-A1AY-01	11	39253998	43574834	2916	0.1327
TCGA-AR-A1AY-01	11	43575998	45962335	1659	0.2059
TCGA-AR-A1AY-01	11	45962418	47372087	571	0.1601
TCGA-AR-A1AY-01	11	47372754	47372766	2	-0.9901
TCGA-AR-A1AY-01	11	47374671	60722181	3447	0.1437
TCGA-AR-A1AY-01	11	60727289	63272961	1285	0.1873
TCGA-AR-A1AY-01	11	63274844	64034275	333	0.1237
TCGA-AR-A1AY-01	11	64035114	67151807	790	0.2075
TCGA-AR-A1AY-01	11	67155392	67432612	108	-0.4371
TCGA-AR-A1AY-01	11	67442550	71532526	1968	0.211
TCGA-AR-A1AY-01	11	71535063	76086848	2227	0.1755
TCGA-AR-A1AY-01	11	76089515	77484466	770	0.2235
TCGA-AR-A1AY-01	11	77486772	94397319	10184	0.158
TCGA-AR-A1AY-01	11	94398252	96014174	1182	0.2233
TCGA-AR-A1AY-01	11	96015139	115605248	12521	0.1659
TCGA-AR-A1AY-01	11	115606316	116977524	1048	0.2
TCGA-AR-A1AY-01	11	116977932	117423820	237	0.0969
TCGA-AR-A1AY-01	11	117423990	121268182	2694	0.1978
TCGA-AR-A1AY-01	11	121270079	124649262	2468	0.1085
TCGA-AR-A1AY-01	11	124649617	130924343	4357	0.1834
TCGA-AR-A1AY-01	11	130931501	134272740	2155	0.1276
TCGA-AR-A1AY-01	12	780472	3641387	1400	0.1783
TCGA-AR-A1AY-01	12	3647567	4880656	935	0.1123
TCGA-AR-A1AY-01	12	4880749	11709881	3530	0.1746
TCGA-AR-A1AY-01	12	11712346	12057455	373	0.8456
TCGA-AR-A1AY-01	12	12064151	18723476	4087	0.1761
TCGA-AR-A1AY-01	12	18730895	21570773	1716	0.1336
TCGA-AR-A1AY-01	12	21574245	31294788	6402	0.1683
TCGA-AR-A1AY-01	12	31297174	40169104	2006	0.1224
TCGA-AR-A1AY-01	12	40173123	52135060	6382	0.1566
TCGA-AR-A1AY-01	12	52137645	52779924	472	0.2521
TCGA-AR-A1AY-01	12	52781754	123854364	42743	0.1589
TCGA-AR-A1AY-01	12	123854562	124836017	640	0.2507
TCGA-AR-A1AY-01	12	124836915	125875434	736	0.1804
TCGA-AR-A1AY-01	12	125876641	129295962	1963	0.1108
TCGA-AR-A1AY-01	12	129296651	132605822	907	0.1644
TCGA-AR-A1AY-01	13	18874255	37671466	11794	-0.4639
TCGA-AR-A1AY-01	13	37671556	48279173	6840	-0.4254
TCGA-AR-A1AY-01	13	48282916	48314337	35	-1.0137
TCGA-AR-A1AY-01	13	48314358	92024697	23633	-0.413
TCGA-AR-A1AY-01	13	92037402	93532787	1061	0.2049
TCGA-AR-A1AY-01	13	93533043	93570067	25	0.5557
TCGA-AR-A1AY-01	13	93574333	96317483	1700	0.2021
TCGA-AR-A1AY-01	13	96320942	96607368	180	0.5755
TCGA-AR-A1AY-01	13	96615490	104966064	5991	0.2173
TCGA-AR-A1AY-01	13	104966633	107680575	1619	0.1805
TCGA-AR-A1AY-01	13	107681625	107681662	2	-1.3879
TCGA-AR-A1AY-01	13	107686712	110209956	1912	0.1673
TCGA-AR-A1AY-01	13	110210540	114226675	2085	0.2223
TCGA-AR-A1AY-01	14	20033191	26225297	2930	-0.4721
TCGA-AR-A1AY-01	14	26225417	71228410	25671	-0.4362
TCGA-AR-A1AY-01	14	71229241	81732790	6729	-0.4644
TCGA-AR-A1AY-01	14	81736197	85289397	2289	-0.4236
TCGA-AR-A1AY-01	14	85290240	105533894	12050	-0.4732
TCGA-AR-A1AY-01	15	23437561	27138466	2165	-0.4887
TCGA-AR-A1AY-01	15	27141839	59704168	17625	-0.4423
TCGA-AR-A1AY-01	15	59708040	60255335	405	-0.4811
TCGA-AR-A1AY-01	15	60255613	60257584	2	-2.7038
TCGA-AR-A1AY-01	15	60257636	60824683	419	-0.449
TCGA-AR-A1AY-01	15	60825060	61842360	973	-0.5074
TCGA-AR-A1AY-01	15	61846481	70309435	5214	-0.4393
TCGA-AR-A1AY-01	15	70312347	70313182	2	-2.3041
TCGA-AR-A1AY-01	15	70316928	71906597	1032	-0.4431
TCGA-AR-A1AY-01	15	71910229	72175072	105	-0.9306
TCGA-AR-A1AY-01	15	72177592	90474486	10037	-0.4425
TCGA-AR-A1AY-01	15	90474866	98354888	5197	0.1384
TCGA-AR-A1AY-01	15	98355371	101344124	1551	0.1794
TCGA-AR-A1AY-01	16	603333	2128574	403	0.2324
TCGA-AR-A1AY-01	16	2182793	2220112	12	-0.4158
TCGA-AR-A1AY-01	16	2257942	2280357	15	0.2305
TCGA-AR-A1AY-01	16	2281467	2755687	117	-0.4458
TCGA-AR-A1AY-01	16	2758491	8721538	3361	0.1421
TCGA-AR-A1AY-01	16	8721609	10755416	1571	0.1648
TCGA-AR-A1AY-01	16	10755869	10770493	7	-0.4972
TCGA-AR-A1AY-01	16	10775225	11483511	530	0.2016
TCGA-AR-A1AY-01	16	11547324	13629343	1553	0.1558
TCGA-AR-A1AY-01	16	13629523	14351750	561	0.2094
TCGA-AR-A1AY-01	16	14356242	31841585	5910	0.1351
TCGA-AR-A1AY-01	16	46470502	67934850	13731	-0.4512
TCGA-AR-A1AY-01	16	67938982	83818595	10775	0.157
TCGA-AR-A1AY-01	16	83819424	89317317	2621	0.2116
TCGA-AR-A1AY-01	17	1074619	21774057	9719	-0.4663
TCGA-AR-A1AY-01	17	26943491	28500731	737	-0.2047
TCGA-AR-A1AY-01	17	28500820	30986060	975	-0.1154
TCGA-AR-A1AY-01	17	30988175	58867279	13686	-0.4275
TCGA-AR-A1AY-01	17	58876772	82959812	12123	-0.1559
TCGA-AR-A1AY-01	18	326691	14372351	8204	0.1694
TCGA-AR-A1AY-01	18	14379515	21764073	309	0.0776
TCGA-AR-A1AY-01	18	21769526	45706592	14679	0.1679
TCGA-AR-A1AY-01	18	45709903	45733692	30	0.6166
TCGA-AR-A1AY-01	18	45736573	48051566	1465	0.1701
TCGA-AR-A1AY-01	18	48052880	50740923	1856	0.2182
TCGA-AR-A1AY-01	18	50741267	54172907	2309	0.1585
TCGA-AR-A1AY-01	18	54174021	54218598	22	0.506
TCGA-AR-A1AY-01	18	54218641	54223042	3	0.1538
TCGA-AR-A1AY-01	18	54223766	56855870	1547	0.5443
TCGA-AR-A1AY-01	18	56858122	59670297	2002	0.5926
TCGA-AR-A1AY-01	18	59674286	60003802	240	0.4974
TCGA-AR-A1AY-01	18	60004232	60004955	6	0.0309
TCGA-AR-A1AY-01	18	60012410	60463843	260	0.577
TCGA-AR-A1AY-01	18	60468612	65504969	3196	1.0861
TCGA-AR-A1AY-01	18	65505569	79349796	6813	0.1548
TCGA-AR-A1AY-01	19	283868	1156398	169	0.1997
TCGA-AR-A1AY-01	19	1170990	1204594	10	-0.3928
TCGA-AR-A1AY-01	19	1210607	19782975	7528	0.1348
TCGA-AR-A1AY-01	19	19786737	31931950	4450	0.103
TCGA-AR-A1AY-01	19	31938741	36177766	2580	0.1414
TCGA-AR-A1AY-01	19	36179396	37963707	842	0.0774
TCGA-AR-A1AY-01	19	37964871	48532126	4589	0.14
TCGA-AR-A1AY-01	19	48536526	49867421	437	-0.4493
TCGA-AR-A1AY-01	19	49871239	58370362	3536	0.1254
TCGA-AR-A1AY-01	20	472817	8873883	5022	-0.4763
TCGA-AR-A1AY-01	20	8877100	21218323	9020	0.1675
TCGA-AR-A1AY-01	20	21220385	24746690	2278	0.1262
TCGA-AR-A1AY-01	20	24746849	25324169	325	0.1994
TCGA-AR-A1AY-01	20	25324820	31812854	572	0.1113
TCGA-AR-A1AY-01	20	31814699	34936037	1489	0.1549
TCGA-AR-A1AY-01	20	34941457	36930949	885	0.5409
TCGA-AR-A1AY-01	20	36931565	37170697	202	0.3408
TCGA-AR-A1AY-01	20	37171650	49086284	7999	0.5607
TCGA-AR-A1AY-01	20	49086793	49365591	148	1.075
TCGA-AR-A1AY-01	20	49368254	50489792	487	0.5765
TCGA-AR-A1AY-01	20	50493794	50571780	142	0.4359
TCGA-AR-A1AY-01	20	50571854	51618319	731	0.5848
TCGA-AR-A1AY-01	20	51619221	52171196	359	0.4915
TCGA-AR-A1AY-01	20	52171478	54672085	1764	0.567
TCGA-AR-A1AY-01	20	54675549	62501785	5733	-0.4911
TCGA-AR-A1AY-01	20	62511210	63588502	365	0.1872
TCGA-AR-A1AY-01	21	13974127	34110695	12935	0.1991
TCGA-AR-A1AY-01	21	34110710	35675257	1081	0.2546
TCGA-AR-A1AY-01	21	35678637	36985997	763	0.2011
TCGA-AR-A1AY-01	21	36986332	41639418	3709	0.1276
TCGA-AR-A1AY-01	21	41639642	46262057	2105	0.1774
TCGA-AR-A1AY-01	22	16934932	26014590	2128	0.0321
TCGA-AR-A1AY-01	22	26015024	27180055	1136	-0.0353
