Samples	CCP	Cluster
TCGA-A2-A0SX-01	0.665171206976669	clust3
TCGA-A2-A1G6-01	-0.0860194375334963	clust3
TCGA-A2-A3XX-01	0.724954911514769	clust3
TCGA-A2-A3XY-01	0.625236930307536	clust3
TCGA-A7-A26G-01	0.565128402148901	clust3
TCGA-A7-A4SE-01	0.746122418430878	clust3
TCGA-A7-A6VV-01	0.735731680708291	clust3
TCGA-A7-A6VW-01	0.816357626412983	clust3
TCGA-AC-A2QJ-01	0.523052962026776	clust3
TCGA-AC-A7VC-01	0.660275275381737	clust3
TCGA-AN-A0AL-01	0.763824484964276	clust3
TCGA-AO-A03U-01	0.256721459493493	clust3
TCGA-AO-A128-01	0.660471692704002	clust3
TCGA-AR-A1AR-01	0.809610856704309	clust3
TCGA-AR-A5QQ-01	0.79948434211382	clust3
TCGA-B6-A400-01	0.786002931964946	clust3
TCGA-BH-A0BL-01	0.703136851537024	clust3
TCGA-BH-A18V-01	0.867616710407525	clust3
TCGA-BH-A1EW-01	0.566746214604242	clust3
TCGA-BH-A42U-01	0.081839828734881	clust3
TCGA-C8-A12V-01	0.674139152829796	clust3
TCGA-C8-A131-01	0.729072230786491	clust3
TCGA-C8-A26X-01	0.595926576385102	clust3
TCGA-C8-A3M7-01	0.388973688989542	clust3
TCGA-D8-A13Z-01	0.742249848005112	clust3
TCGA-D8-A143-01	0.871792708298113	clust3
TCGA-D8-A1JL-01	0.7141725354355	clust3
TCGA-D8-A27F-01	0.812099113448745	clust3
TCGA-D8-A27M-01	0.61709753452781	clust3
TCGA-E2-A1L7-01	0.828389648302545	clust3
TCGA-E2-A1LL-01	0.825509627998671	clust3
TCGA-E9-A5FL-01	0.609294573491744	clust3
TCGA-EW-A1OV-01	0.585481375924547	clust3
TCGA-EW-A1P4-01	0.816601955668619	clust3
TCGA-EW-A1PH-01	0.693833289541457	clust3
TCGA-EW-A3U0-01	0.664369519666423	clust3
TCGA-GM-A2DH-01	0.773451498999856	clust3
TCGA-LL-A441-01	0.500672147144598	clust3
TCGA-LL-A73Y-01	0.465908465243744	clust3
TCGA-OL-A6VO-01	0.82679173561166	clust3
