Samples	pathway	Cluster
TCGA-D8-A13Z-01	4.05529692395172	clust3
TCGA-D8-A143-01	4.13942372159844	clust3
TCGA-D8-A147-01	3.56672818555869	clust2
TCGA-D8-A1JF-01	3.54696919310437	clust2
TCGA-D8-A1JL-01	3.92505181263927	clust3
TCGA-D8-A1XK-01	3.84681397176467	clust2
TCGA-D8-A1XQ-01	4.20249473874853	clust1
TCGA-D8-A27F-01	4.16350756944353	clust3
TCGA-D8-A27H-01	4.1396437381619	clust1
TCGA-D8-A27M-01	4.26911508954637	clust3
TCGA-E2-A14N-01	3.83239968780458	clust2
TCGA-E2-A14R-01	3.90551099330373	clust2
TCGA-E2-A14X-01	3.71559014088978	clust1
TCGA-E2-A150-01	4.02112081870767	clust2
TCGA-E2-A158-01	3.31441293567826	clust2
TCGA-E2-A1L7-01	3.73088052519986	clust3
TCGA-E2-A1LH-01	3.95141224945277	clust2
TCGA-E2-A1LL-01	4.07896835315438	clust3
TCGA-E2-A1LS-01	3.71220247123481	clust2
TCGA-E9-A5FL-01	4.07731783702981	clust3
TCGA-EW-A1OV-01	3.64285457671358	clust3
TCGA-EW-A1OW-01	4.05304605265889	clust2
TCGA-EW-A1P4-01	4.1393590709175	clust3
TCGA-EW-A1P8-01	3.90284236040621	clust2
TCGA-EW-A1PB-01	3.64562193127154	clust2
TCGA-EW-A1PH-01	3.69251353806174	clust3
TCGA-EW-A3U0-01	3.84904711505912	clust3
TCGA-EW-A6SB-01	3.43113461470158	clust2
TCGA-GI-A2C9-01	4.00478602233344	clust2
TCGA-GM-A2DB-01	3.83273240681238	clust2
TCGA-GM-A2DF-01	3.87245434165075	clust1
TCGA-GM-A2DH-01	3.75327663024203	clust3
TCGA-HN-A2NL-01	3.29278061167482	clust2
TCGA-LL-A441-01	3.6036710313602	clust3
TCGA-LL-A5YO-01	3.54997046928017	clust2
TCGA-LL-A73Y-01	4.10149227976803	clust3
TCGA-OL-A6VO-01	3.66353030312277	clust3
TCGA-S3-AA10-01	3.86179212311139	clust2
TCGA-S3-AA15-01	4.16770787777736	clust1
