p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
0	0.728450148049257	0.774	0.298	0	Epithelial cell	CCT6A	0.476
0	0.72822733246324	0.749	0.284	0	Epithelial cell	LSM4	0.465
0	0.7275397347958	0.771	0.384	0	Epithelial cell	KDELR2	0.387
0	0.722088083665858	0.537	0.061	0	Epithelial cell	PYCR1	0.476
0	0.715008707414574	0.535	0.052	0	Epithelial cell	SPINT1	0.483
0	0.703480351411764	0.882	0.57	0	Epithelial cell	NDUFS5	0.312
0	0.701846053956536	0.717	0.268	0	Epithelial cell	ARPC1A	0.449
0	0.699185980421052	0.659	0.338	0	Epithelial cell	TMEM123	0.321
0	0.695549849263393	0.626	0.204	0	Epithelial cell	NME4	0.422
0	0.69306541072203	0.73	0.381	0	Epithelial cell	SIVA1	0.349
0	0.690040693665997	0.545	0.13	0	Epithelial cell	C14orf1	0.415
0	0.687380971858819	0.83	0.459	0	Epithelial cell	NDUFB4	0.371
0	0.68469987350287	0.763	0.334	0	Epithelial cell	NHP2	0.429
0	0.682539639362416	0.724	0.298	0	Epithelial cell	HDLBP	0.426
0	0.680553085519013	0.845	0.426	0	Epithelial cell	YWHAQ	0.419
0	0.679238534206898	0.633	0.159	0	Epithelial cell	NUPR1	0.474
0	0.674645352301749	0.934	0.974	0	Epithelial cell	MT-CO3	-0.0399999999999999
0	0.671916456320645	0.809	0.598	0	Epithelial cell	GSTP1	0.211
0	0.670545438814488	0.753	0.321	0	Epithelial cell	CCT3	0.432
0	0.668710508895466	0.785	0.362	0	Epithelial cell	PPA1	0.423
0	0.668252741826071	0.973	0.879	0	Epithelial cell	H3F3A	0.094
0	0.664345549046619	0.78	0.408	0	Epithelial cell	ATP5C1	0.372
0	0.662105675066835	0.597	0.176	0	Epithelial cell	HMG20B	0.421
0	0.661873045716666	0.849	0.497	0	Epithelial cell	PRDX5	0.352
0	0.653940877447756	0.986	0.927	0	Epithelial cell	RPLP0	0.0589999999999999
0	0.651316432842244	0.774	0.357	0	Epithelial cell	PRDX2	0.417
0	0.649512690011532	0.814	0.407	0	Epithelial cell	SRP9	0.407
0	0.647461895548295	0.687	0.234	0	Epithelial cell	PCBD1	0.453
0	0.64491646448489	0.574	0.1	0	Epithelial cell	TSPAN13	0.474
0	0.644846094961292	0.609	0.133	0	Epithelial cell	POLD2	0.476
0	0.632920128269851	0.984	0.928	0	Epithelial cell	RPS2	0.0559999999999999
0	0.628768009867461	0.674	0.233	0	Epithelial cell	CCT5	0.441
0	0.626818881760601	0.848	0.584	0	Epithelial cell	H2AFZ	0.264
0	0.626631909363938	0.915	0.658	0	Epithelial cell	NDUFA4	0.257
0	0.623045994669701	0.625	0.193	0	Epithelial cell	HDAC2	0.432
0	0.62153091992081	0.649	0.189	0	Epithelial cell	NGFRAP1	0.46
0	0.618746633722952	0.803	0.455	0	Epithelial cell	SEC61G	0.348
0	0.616914142076465	0.679	0.287	0	Epithelial cell	TXNDC17	0.392
0	0.616025175294332	0.576	0.132	0	Epithelial cell	DCTPP1	0.444
0	0.615460129974877	0.97	0.838	0	Epithelial cell	PPIA	0.132
0	0.612963562390678	0.806	0.441	0	Epithelial cell	NDUFB9	0.365
0	0.611041696341131	0.78	0.395	0	Epithelial cell	NUCKS1	0.385
0	0.60855827250238	0.641	0.215	0	Epithelial cell	EIF4EBP1	0.426
0	0.606986554289849	0.735	0.303	0	Epithelial cell	PDCD5	0.432
0	0.606226712285432	0.856	0.601	0	Epithelial cell	HMGN2	0.255
0	0.603521985735852	0.814	0.546	0	Epithelial cell	TUBA1B	0.268
0	0.599634885555027	0.706	0.29	0	Epithelial cell	ILF2	0.416
0	0.5988950375373	0.68	0.26	0	Epithelial cell	MRPS15	0.42
0	0.595488855868218	0.932	0.791	0	Epithelial cell	HMGB1	0.141
0	0.592309148592685	0.852	0.549	0	Epithelial cell	NCL	0.303
0	0.590177214615204	0.868	0.536	0	Epithelial cell	SLC25A5	0.332
0	0.590171528846985	0.822	0.474	0	Epithelial cell	ANAPC11	0.348
0	0.589384961488595	0.726	0.353	0	Epithelial cell	PTMS	0.373
0	0.588111813302689	0.885	0.587	0	Epithelial cell	LDHA	0.298
0	0.586633487809463	0.702	0.259	0	Epithelial cell	PSMB5	0.443
0	0.584619018301779	0.793	0.434	0	Epithelial cell	C14orf2	0.359
0	0.584387889049373	0.946	0.722	0	Epithelial cell	S100A11	0.224
0	0.583802737595941	0.79	0.424	0	Epithelial cell	SNRPG	0.366
0	0.579502462725124	0.561	0.184	0	Epithelial cell	TUBA1C	0.377
0	0.578359694352755	0.799	0.605	0	Epithelial cell	S100A10	0.194
0	0.576953149272651	0.882	0.595	0	Epithelial cell	GPX4	0.287
0	0.576130060325038	0.553	0.107	0	Epithelial cell	ADAM15	0.446
0	0.575733679105706	0.731	0.36	0	Epithelial cell	MRPL51	0.371
0	0.57540063458031	0.618	0.2	0	Epithelial cell	MTCH2	0.418
0	0.575130111116105	0.828	0.457	0	Epithelial cell	HSPD1	0.371
0	0.574377862021994	0.77	0.374	0	Epithelial cell	NDUFAB1	0.396
0	0.57423779228926	0.72	0.303	0	Epithelial cell	MPC2	0.417
0	0.573988259964063	0.607	0.167	0	Epithelial cell	MRPS26	0.44
0	0.57089289703071	0.727	0.365	0	Epithelial cell	MLF2	0.362
0	0.569821048917561	0.782	0.391	0	Epithelial cell	VDAC2	0.391
0	0.564304765861185	0.947	0.739	0	Epithelial cell	HSP90AB1	0.208
0	0.561618278712344	0.866	0.54	0	Epithelial cell	COX5A	0.326
0	0.558886655780631	0.687	0.265	0	Epithelial cell	SLIRP	0.422
0	0.557883953261757	0.817	0.46	0	Epithelial cell	ATP5J2	0.357
0	0.55659111197173	0.555	0.121	0	Epithelial cell	BZW2	0.434
0	0.556258845758549	0.503	0.142	0	Epithelial cell	H1F0	0.361
0	0.554193142715657	0.712	0.29	0	Epithelial cell	LSM5	0.422
0	0.551933942961439	0.732	0.313	0	Epithelial cell	SNRPD1	0.419
0	0.551585872205134	0.78	0.464	0	Epithelial cell	GNAS	0.316
0	0.549946699631036	0.53	0.12	0	Epithelial cell	GCSH	0.41
0	0.54900208542241	0.58	0.155	0	Epithelial cell	TOMM40	0.425
0	0.546443800864462	0.581	0.157	0	Epithelial cell	AHCY	0.424
0	0.546222068857122	0.732	0.322	0	Epithelial cell	MTCH1	0.41
0	0.546061845787806	0.596	0.154	0	Epithelial cell	MRPL37	0.442
0	0.544572059437816	0.787	0.417	0	Epithelial cell	NDUFB7	0.37
0	0.544283346351896	0.848	0.527	0	Epithelial cell	SERBP1	0.321
0	0.544169531371417	0.509	0.105	0	Epithelial cell	DTYMK	0.404
0	0.543270978425302	0.863	0.515	0	Epithelial cell	TXN	0.348
0	0.539802351429908	0.866	0.561	0	Epithelial cell	ATP5G3	0.305
0	0.539380911338529	0.716	0.321	0	Epithelial cell	PSMB2	0.395
0	0.538200454616967	0.715	0.301	0	Epithelial cell	MRPS34	0.414
0	0.537679737976387	0.766	0.421	0	Epithelial cell	PRDX6	0.345
0	0.534210306969359	0.727	0.341	0	Epithelial cell	RANBP1	0.386
0	0.533777361529245	0.508	0.096	0	Epithelial cell	HOOK2	0.412
0	0.530954892887321	0.609	0.23	0	Epithelial cell	NFIC	0.379
0	0.527114308592543	0.674	0.285	0	Epithelial cell	DCXR	0.389
0	0.524651197361419	0.504	0.2	0	Epithelial cell	NGRN	0.304
0	0.523210250003483	0.766	0.377	0	Epithelial cell	BANF1	0.389
0	0.522499818177438	0.526	0.122	0	Epithelial cell	CTNNBIP1	0.404
0	0.519819565044681	0.598	0.175	0	Epithelial cell	ZNF593	0.423
0	0.518994840257664	0.658	0.31	0	Epithelial cell	STRAP	0.348
0	0.518562887987814	0.823	0.53	0	Epithelial cell	PEBP1	0.293
0	0.518349480091983	0.622	0.184	0	Epithelial cell	COX20	0.438
0	0.517871119648512	0.827	0.47	0	Epithelial cell	SHFM1	0.357
0	0.515488238733253	0.648	0.223	0	Epithelial cell	AK2	0.425
0	0.513357597357207	0.656	0.249	0	Epithelial cell	TIMM13	0.407
0	0.512712302842316	0.704	0.404	0	Epithelial cell	PHB2	0.3
0	0.511765569788786	0.737	0.451	0	Epithelial cell	TOMM20	0.286
0	0.509245425529911	0.517	0.094	0	Epithelial cell	PON2	0.423
0	0.50770171506574	0.669	0.315	0	Epithelial cell	C1QBP	0.354
0	0.506249199818761	0.635	0.225	0	Epithelial cell	SMS	0.41
0	0.5046039031144	0.849	0.56	0	Epithelial cell	HMGN1	0.289
0	0.504118200167465	0.594	0.196	0	Epithelial cell	HNRNPAB	0.398
0	0.503772144460876	0.515	0.198	0	Epithelial cell	CKS2	0.317
0	0.503081291871493	0.704	0.289	0	Epithelial cell	PDAP1	0.415
0	0.502791925079193	0.884	0.61	0	Epithelial cell	TAGLN2	0.274
0	0.502478556817703	0.897	0.659	0	Epithelial cell	PSMA7	0.238
0	0.502325262020058	0.584	0.203	0	Epithelial cell	CARHSP1	0.381
0	0.501117139556102	0.626	0.214	0	Epithelial cell	TFG	0.412
0	0.500456195763266	0.674	0.254	0	Epithelial cell	CD151	0.42
0	0.500411263586289	0.771	0.503	0	Epithelial cell	PGK1	0.268
2.75900184928962e-259	0.810222346223214	0.632	0.413	6.6980287895204e-255	Epithelial cell	HIST1H4C	0.219
4.68218722296988e-231	0.507648224608682	0.947	0.99	1.1366945921204e-226	Epithelial cell	MT-CO2	-0.043
7.31506795948598e-194	0.508940340617061	0.991	0.959	1.77587904852441e-189	Epithelial cell	RPS27A	0.032
5.83386549101148e-160	0.552579306741647	0.897	0.826	1.41628752525286e-155	Epithelial cell	RPL7	0.0710000000000001
3.22951628323864e-154	0.608582817131833	0.74	0.597	7.84029668081845e-150	Epithelial cell	RPS20	0.143
3.10260060761343e-28	0.611555471192655	0.54	0.57	7.53218349510313e-24	Epithelial cell	LDHB	-0.0299999999999999
0	2.85732369954364	0.777	0.012	0	Endothelial cell	PLVAP	0.765
0	2.53876628079484	0.888	0.109	0	Endothelial cell	SPARCL1	0.779
0	2.42927614214729	0.732	0.022	0	Endothelial cell	RAMP2	0.71
0	2.37200034775399	0.721	0.004	0	Endothelial cell	VWF	0.717
0	2.21952709287794	0.803	0.134	0	Endothelial cell	A2M	0.669
0	2.19211988606421	0.666	0.031	0	Endothelial cell	AQP1	0.635
0	2.17961335955871	0.753	0.076	0	Endothelial cell	GNG11	0.677
0	2.08738188357931	0.896	0.195	0	Endothelial cell	IGFBP7	0.701
0	2.02912407260739	0.691	0.051	0	Endothelial cell	HSPG2	0.64
0	2.02014369565074	0.736	0.113	0	Endothelial cell	PECAM1	0.623
0	1.95639295630434	0.544	0.003	0	Endothelial cell	CLDN5	0.541
0	1.91581697484114	0.705	0.133	0	Endothelial cell	ENG	0.572
0	1.87796482114777	0.654	0.007	0	Endothelial cell	CLEC14A	0.647
0	1.86170096387129	0.593	0.006	0	Endothelial cell	RAMP3	0.587
0	1.78475518002577	0.666	0.002	0	Endothelial cell	ADGRL4	0.664
0	1.7616848309039	0.593	0.076	0	Endothelial cell	HYAL2	0.517
0	1.75814096672791	0.675	0.065	0	Endothelial cell	EGFL7	0.61
0	1.74160181218542	0.636	0.018	0	Endothelial cell	ESAM	0.618
0	1.72152485577674	0.619	0.017	0	Endothelial cell	CD34	0.602
0	1.70074470923153	0.716	0.175	0	Endothelial cell	CAV1	0.541
0	1.69162659331765	0.586	0.079	0	Endothelial cell	ID1	0.507
0	1.68769187075784	0.914	0.349	0	Endothelial cell	IFI27	0.565
0	1.68616834786316	0.643	0.003	0	Endothelial cell	EMCN	0.64
0	1.62255432511204	0.933	0.528	0	Endothelial cell	IFITM3	0.405
0	1.59213799947047	0.535	0.053	0	Endothelial cell	COL4A1	0.482
0	1.59051740635698	0.565	0.039	0	Endothelial cell	COL15A1	0.526
0	1.58224014155234	0.739	0.232	0	Endothelial cell	ID3	0.507
0	1.54611069161037	0.784	0.165	0	Endothelial cell	SPARC	0.619
0	1.54086763356175	0.638	0.205	0	Endothelial cell	NPDC1	0.433
0	1.52358327020318	0.864	0.612	0	Endothelial cell	FKBP1A	0.252
0	1.49974753457711	0.557	0.08	0	Endothelial cell	COL4A2	0.477
0	1.48565381413881	0.568	0.081	0	Endothelial cell	SPRY1	0.487
0	1.43896072991842	0.667	0.239	0	Endothelial cell	PDLIM1	0.428
0	1.42611852369696	0.647	0.106	0	Endothelial cell	EPAS1	0.541
0	1.40749251449936	0.82	0.278	0	Endothelial cell	CRIP2	0.542
0	1.39794388776421	0.835	0.436	0	Endothelial cell	CD59	0.399
0	1.36693785252516	0.562	0.041	0	Endothelial cell	PALMD	0.521
0	1.35389700453374	0.607	0.14	0	Endothelial cell	EMP1	0.467
0	1.35284785737246	0.695	0.193	0	Endothelial cell	IGFBP4	0.502
0	1.3234266407649	0.768	0.276	0	Endothelial cell	TM4SF1	0.492
0	1.3174114504511	0.586	0.127	0	Endothelial cell	BCAM	0.459
0	1.31484460222754	0.658	0.166	0	Endothelial cell	TCF4	0.492
0	1.28860797956976	0.517	0.023	0	Endothelial cell	CYYR1	0.494
0	1.27455878457555	0.576	0.078	0	Endothelial cell	CD93	0.498
0	1.27035761800668	0.675	0.242	0	Endothelial cell	STOM	0.433
0	1.26373069426854	0.502	0.001	0	Endothelial cell	CXorf36	0.501
0	1.24277920929056	0.643	0.146	0	Endothelial cell	PTRF	0.497
0	1.24029965572219	0.577	0.13	0	Endothelial cell	ARHGAP29	0.447
0	1.19461095383357	0.611	0.181	0	Endothelial cell	MGST2	0.43
0	1.17119359971103	0.702	0.106	0	Endothelial cell	RNASE1	0.596
0	1.15751962772027	0.551	0.128	0	Endothelial cell	ICAM2	0.423
0	1.14130621199988	0.605	0.197	0	Endothelial cell	TGFBR2	0.408
0	1.12918068667522	0.589	0.193	0	Endothelial cell	SPTBN1	0.396
0	1.11496965815086	0.51	0.109	0	Endothelial cell	PRKCDBP	0.401
0	1.10991150540171	0.555	0.11	0	Endothelial cell	PRSS23	0.445
0	0.962182911999746	0.546	0.138	0	Endothelial cell	NNMT	0.408
2.49516341929204e-278	0.720930010037982	0.512	0.14	6.05750823301529e-274	Endothelial cell	TIMP3	0.372
3.22325068407286e-270	1.37374411653918	0.551	0.199	7.82508568572367e-266	Endothelial cell	PRCP	0.352
1.76438690575309e-265	1.37001064825792	0.691	0.308	4.28340209109678e-261	Endothelial cell	SOCS3	0.383
2.92066833689296e-258	0.930793757798955	0.524	0.175	7.09050652147505e-254	Endothelial cell	ETS2	0.349
7.46875237384108e-257	0.821208500113236	0.501	0.148	1.8131890137974e-252	Endothelial cell	MEF2C	0.353
6.87284015209179e-255	1.14991740310551	0.664	0.31	1.66851940372332e-250	Endothelial cell	APP	0.354
4.90744630597228e-238	0.995078247208642	0.696	0.326	1.19138073970089e-233	Endothelial cell	VAMP5	0.37
1.76815103372503e-233	0.850555314989843	0.914	0.755	4.29254026457426e-229	Endothelial cell	VIM	0.159
6.81408979510247e-231	0.835996187245702	0.533	0.186	1.65425657955703e-226	Endothelial cell	NFIB	0.347
1.55886002186162e-211	0.848890419499267	0.59	0.244	3.78444447507344e-207	Endothelial cell	SERPINH1	0.346
8.24834429994856e-209	1.24690206625684	0.684	0.368	2.00245054569851e-204	Endothelial cell	GSN	0.316
2.72163741395094e-204	0.787252377895358	0.586	0.235	6.60731914984869e-200	Endothelial cell	CNN3	0.351
6.01345798150302e-202	0.613512003544459	0.566	0.204	1.45988719416949e-197	Endothelial cell	S100A16	0.362
8.02187003919582e-201	0.963341265411889	0.661	0.306	1.94746938941557e-196	Endothelial cell	TSC22D1	0.355
1.44190748124163e-199	0.982218485604609	0.549	0.235	3.50051879221031e-195	Endothelial cell	ADAM15	0.314
9.23451678224678e-198	0.784369935127501	0.554	0.2	2.24186363922605e-193	Endothelial cell	GIMAP7	0.354
1.58698913637927e-189	0.860054268577171	0.528	0.199	3.85273352638796e-185	Endothelial cell	KLF2	0.329
2.60177331118691e-184	0.927224814495912	0.627	0.33	6.31632506756847e-180	Endothelial cell	RAB13	0.297
2.11301737232652e-181	0.760859624440402	0.524	0.207	5.1297722747971e-177	Endothelial cell	IL6ST	0.317
4.17843600410831e-179	0.927660010469491	0.774	0.512	1.01439890871737e-174	Endothelial cell	BST2	0.262
1.78254207065091e-177	0.73528251293273	0.82	0.546	4.32747738491921e-173	Endothelial cell	HSPB1	0.274
1.97421806544736e-175	0.815776489663275	0.778	0.536	4.79280919748654e-171	Endothelial cell	IFITM2	0.242
2.86272027202199e-174	0.806904363763569	0.522	0.23	6.94982600438779e-170	Endothelial cell	PVRL2	0.292
5.37257526415434e-170	1.15970633028042	0.771	0.484	1.30430009687875e-165	Endothelial cell	HSPA1A	0.287
2.73185344475714e-153	0.886380169092742	0.874	0.815	6.63212060783691e-149	Endothelial cell	SRP14	0.0590000000000001
1.28823056417888e-149	0.692569076288571	0.845	0.697	3.12743734065706e-145	Endothelial cell	ITM2B	0.148
4.07429539635601e-149	0.698929752020837	0.553	0.225	9.89116693373348e-145	Endothelial cell	ITM2A	0.328
1.3888297813493e-147	0.566729135353875	0.633	0.294	3.37166206018169e-143	Endothelial cell	FCGRT	0.339
1.12823837583657e-143	0.597367811834425	0.527	0.231	2.73902430501844e-139	Endothelial cell	S100A13	0.296
8.58578202676131e-138	0.769416340317903	0.521	0.237	2.08437030263684e-133	Endothelial cell	CD81	0.284
1.13873113687979e-128	0.796611011057514	0.572	0.283	2.76449758100306e-124	Endothelial cell	XIST	0.289
8.31392530410292e-128	0.743742483933585	0.504	0.249	2.01837164607707e-123	Endothelial cell	RDX	0.255
6.83438629130075e-127	1.00367716117013	0.704	0.571	1.65918395993908e-122	Endothelial cell	SEPW1	0.133
1.68009754847547e-121	0.887728272515285	0.736	0.559	4.0787728184339e-117	Endothelial cell	DNAJA1	0.177
9.89502997113443e-115	0.812932952019983	0.881	0.766	2.4022164260923e-110	Endothelial cell	UBB	0.115
8.40077582554975e-111	0.652253691719052	0.561	0.309	2.03945634716871e-106	Endothelial cell	LEPROT	0.252
2.16336074646846e-105	0.979030644921178	0.545	0.329	5.25199088420149e-101	Endothelial cell	DUSP23	0.216
3.547773655894e-104	0.554759782836882	0.839	0.646	8.61293010441387e-100	Endothelial cell	NEAT1	0.193
8.92152446895325e-104	0.67483285284028	0.703	0.476	2.16587849532778e-99	Endothelial cell	LMNA	0.227
6.46536502318825e-98	0.678634213351101	0.602	0.39	1.56959666667941e-93	Endothelial cell	CYB5R3	0.212
1.44576550067081e-96	0.542728165176852	0.855	0.806	3.50988490597852e-92	Endothelial cell	HLA-E	0.0489999999999999
1.90943582094341e-91	0.731913078030111	0.546	0.322	4.63553734250432e-87	Endothelial cell	YBX3	0.224
2.89287531022014e-90	0.680457394946989	0.572	0.338	7.02303339062142e-86	Endothelial cell	TNFSF10	0.234
1.73374890935437e-87	0.786599051488297	0.611	0.384	4.2090222272396e-83	Endothelial cell	HSPA1B	0.227
6.01990261126138e-87	0.805535513299366	0.694	0.501	1.46145175693592e-82	Endothelial cell	SEC62	0.193
3.76687095085779e-85	0.545356766713224	0.815	0.742	9.14483260739746e-81	Endothelial cell	DDX5	0.073
5.62468364537241e-85	0.66338461338795	0.661	0.516	1.36550444858706e-80	Endothelial cell	CDC37	0.145
7.5981048218902e-85	0.586237379916212	0.596	0.377	1.84459190761028e-80	Endothelial cell	CD151	0.219
2.79709619577827e-84	0.633480202840196	0.61	0.392	6.79051043449091e-80	Endothelial cell	SDCBP	0.218
1.51901673684045e-82	0.638361634021178	0.561	0.337	3.68771693202756e-78	Endothelial cell	EGR1	0.224
2.75975521223771e-80	0.635978907602296	0.549	0.339	6.69985772874949e-76	Endothelial cell	GNAI2	0.21
3.83615918362721e-80	0.560269456891845	0.722	0.515	9.31304365009177e-76	Endothelial cell	LAPTM4A	0.207
3.02546964282958e-79	0.525809635004995	0.854	0.852	7.34493265189738e-75	Endothelial cell	UBC	0.002
6.58494622049931e-79	0.553369707440378	0.664	0.481	1.59862739395062e-74	Endothelial cell	ITGB1	0.183
8.64477791838121e-79	0.502683524409028	0.841	0.775	2.09869273524541e-74	Endothelial cell	MYL12A	0.0659999999999999
1.44624150597565e-78	0.531332499280692	0.799	0.729	3.51104050405709e-74	Endothelial cell	MYL12B	0.0700000000000001
2.63887991346606e-77	0.643691536629274	0.568	0.386	6.40640876592156e-73	Endothelial cell	RAB11A	0.182
5.47660055145658e-76	0.694329683164102	0.517	0.313	1.32955431587711e-71	Endothelial cell	ATP1A1	0.204
1.57188796055265e-75	0.558387905295134	0.531	0.31	3.81607240183367e-71	Endothelial cell	PLSCR1	0.221
4.7776486217351e-75	0.630181491794158	0.553	0.348	1.15986975589863e-70	Endothelial cell	LAP3	0.205
1.52358046002515e-72	0.570167555399081	0.56	0.352	3.69879628280305e-68	Endothelial cell	MSN	0.208
3.78909940917745e-68	0.504619180053754	0.537	0.306	9.1987966356601e-64	Endothelial cell	SLC2A3	0.231
5.03029432029754e-66	0.529226296192473	0.559	0.362	1.22120455213863e-61	Endothelial cell	DDX3X	0.197
7.05663858685645e-64	0.746854053805672	0.575	0.45	1.71314014973114e-59	Endothelial cell	CCDC85B	0.125
1.51982623273399e-63	0.765031696236055	0.646	0.499	3.6896821452083e-59	Endothelial cell	IFITM1	0.147
2.10153558842987e-63	0.548693210018034	0.525	0.353	5.1018979480312e-59	Endothelial cell	NAA38	0.172
2.20552217252438e-62	0.543241545583508	0.544	0.343	5.35434617823743e-58	Endothelial cell	APLP2	0.201
9.98939157030799e-62	0.599196516200113	0.545	0.327	2.42512459152367e-57	Endothelial cell	CD9	0.218
9.62420422715451e-60	0.530271745867834	0.621	0.449	2.3364680602263e-55	Endothelial cell	MYH9	0.172
2.69573395257255e-59	0.534897116440221	0.53	0.349	6.54443331666038e-55	Endothelial cell	PTTG1IP	0.181
1.5862474302781e-58	0.7715318959745	0.553	0.376	3.85093288648615e-54	Endothelial cell	CDKN1A	0.177
1.11435439579462e-52	0.507131783796606	0.645	0.498	2.70531816667059e-48	Endothelial cell	MGST3	0.147
2.42881645629709e-52	0.638195080313433	0.719	0.612	5.89643771095244e-48	Endothelial cell	POMP	0.107
